NAMES,MAJOR CITY,STATE,ADDRESS
Grace Garden Apartment,Independence Layout, Enugu ,"2A Snaap Drive, Independence City"
Safari Gardens Hotel,Trans Ekulu, Enugu ,"6, Ridgeway Lane"
Pinnaco Hotel,Enugu East, Enugu ,"24, 3rd Avenue, Ogui Road, Enugu East, Enugu "
NIGERLINE HOTELS,Emene, Enugu ,"Nwabueze / Chukwuejim Str. Emene, Enugu"
SWISS VILLA AND SPA,Enugu, Enugu ,"18 Ezilo Independence Layout , Brown And Brown Cen..."
Carlton Crown Guest House,Enugu, Enugu ,"No. 23, College Road, Abakpa Nike, Abakpa Nike, En..."
Satams Hotels,Enugu, Enugu ,"No. 3, Awka Street, Independent Layout"
Micovart Hotel,Enugu, Enugu ,"5 Ugwuomu Street, Emene, Enugu "
Peepat Hotel And Garden,Enugu, Enugu ,"Airport Road Near, Airport, Emene, Enugu"
Paladuim Hotel,Emene, Enugu ,"Opposite Anamco Main Gate, "
Grand Nigerline Hotel,Emene, Enugu ,"No. 2, Chukwuejim Street, Emene, Off Railway Line"
De Okams Guest House,Emene, Enugu ,5 Ifemelunma Street.
Soil Plaza Hotel,Enugu, Enugu ,"Ogbuagu Street, Emene, Enugu"
Nacoon Guest House,Enugu, Enugu ,"No. 5, Okwor Lane, Off Enugu Abakaliki Express Roa..."
Etta Joe Guest House,Enugu, Enugu ,"No. 23 College Road, Abakpa Nike, Enugu"
Mirabeth Hotel,Enugu, Enugu ,"74 Nike Road Abakpa, Enugu"
"Lakeside Suites	",Enugu, Enugu ,"No. 7, Chief Okoro AV, Off Enugu East LG Road, Enu..."
Another Level Garden,Enugu, Enugu ,Nike Lake Road
Censers Palace Hotel,Enugu, Enugu ,"Nike Lake Resort Road Abakpa Nike, Enugu"
Chibody Hotel,Enugu, Enugu ,"Nike Lake Resort Rd Trans Ekulu, Enugu"
Hotel De Carvel,Enugu, Enugu ,"22A Nomeh Drive, Trans Ekulu, Enugu"
Maris Hotel And Suites,Enugu, Enugu ,"2 Bank Avenue, Trans Ekulu, Enugu"
Emmyson Guest House,Enugu, Enugu ,"Emmyson Avenue, Phase 6, Trans Ekulu, Enugu"
Mickoy Villa ,Enugu, Enugu ,"No. 1, Mickoy Close 18 Upper North, Trans Ekulu, E..."
Panafric Hotel Limited,Enugu, Enugu ,"6/24 Kindsway Road, G.R.A. Enugu"
Imperial Hotel,Enugu, Enugu ,"No. 3, Cemetery Road, G.R.A, Enugu"
Standard Hotel,Enugu, Enugu ,"5B Lugard Crescent, G.R.A, Enugu"
Valley Inn Guest House,Enugu, Enugu ,"No. 4, Chime Lane, G.R.A, Enugu"
Redotel Suite,Trans Ekulu, Enugu ,27 Wokemba Street Federal Housing Trans Ekulu
Mionejoe Suite,Enugu, Enugu ,"4, Umunnaji Ngene Avenue, Independence Layout, Enu..."
Aston Ville Hotels And Suites,Enugu, Enugu ,"Plot 33 Goshen Estate Rd, Premier Layout By Indepe..."
Golden Villa Hotels And Suites,Enugu, Enugu ,"76, Agbani Road, Uwani, "
Tourist Hotel,Enugu, Enugu ,"No 8, Nwakobi Street,"
Aviation Home Limited,Emene, Enugu ,Off Annunciation Hospital Road
Las Palmas Hotel,Asata, Enugu ,"Umuabi Road Off Nkwoagu Junction, Amaokwe Station"
Jomay Hotels,Awkunanaw, Enugu ,"1, Mercy Square, Enugu-Portharcourt Express Way"
De Moon Hotel,Awkunanaw, Enugu ,"5, Nwaocha Nwachukwu Street"
Switz Garden Hotel,GRA, Enugu ,"190-194, Abakaliki Express Way"
